feature,family,hypothesis,horizon,n,q1_mean,q1_hac_t,q5_mean,q5_hac_t,q5_minus_q1_mean,spearman_rho_10d,etf_agreement_count,robustness_score
call_sentiment,Call/put-separate flow,other,1,360,-0.0022182499747331976,-1.329696530544804,0.0003864404291494431,0.18413611717617775,0.0026046904038826407,-0.04033593626984889,5,5
call_sentiment,Call/put-separate flow,other,3,360,-0.0037516504986684334,-1.3776196184730034,0.0008706128597535881,0.17873347998845407,0.004622263358422022,-0.04033593626984889,5,5
call_sentiment,Call/put-separate flow,other,5,360,-0.0013866964656566155,-0.38453612689953476,-0.004108505664383481,-0.5315929367175953,-0.002721809198726865,-0.04033593626984889,5,5
call_sentiment,Call/put-separate flow,other,10,360,-0.009787248155528065,-1.4562385596822756,-0.00804163827174709,-1.1416361443694747,0.0017456098837809741,-0.04033593626984889,5,5
call_sentiment,Call/put-separate flow,other,20,360,0.003900353692382088,0.30462137851443644,-0.012998973376638344,-1.0041220196660003,-0.016899327069020434,-0.04033593626984889,5,5
put_sentiment,Call/put-separate flow,other,1,360,-0.0026553387091041683,-1.2885141717669564,-0.00029226241746057376,-0.1543648359436345,0.0023630762916435947,-0.12688855761232207,4,29
put_sentiment,Call/put-separate flow,other,3,360,-0.001643304877580038,-0.47919444885435697,-0.0006400557021069274,-0.13214515631670581,0.0010032491754731108,-0.12688855761232207,4,29
put_sentiment,Call/put-separate flow,other,5,360,0.00048496517408111407,0.11522222494958326,-0.0031810862688412592,-0.6640819318925841,-0.0036660514429223733,-0.12688855761232207,4,29
put_sentiment,Call/put-separate flow,other,10,360,0.004623420469561998,0.5598069978618548,-0.013672391698637966,-2.8760096497730814,-0.018295812168199962,-0.12688855761232207,4,29
put_sentiment,Call/put-separate flow,other,20,360,0.016319188998114277,1.1215654251960154,-0.019755873863430612,-2.5594633934479405,-0.03607506286154489,-0.12688855761232207,4,29
opening_hour_sentiment,Time of day,H3,1,360,0.00030091555115258073,0.16033078154179806,-0.0021306443796817363,-1.2009002346612778,-0.002431559930834317,-0.11872837847232609,4,19
opening_hour_sentiment,Time of day,H3,3,360,0.0033405191645216868,1.1183509219476735,-0.001580450337077104,-0.3897497636477534,-0.004920969501598791,-0.11872837847232609,4,19
opening_hour_sentiment,Time of day,H3,5,360,0.0036163870965662285,0.8686856179217899,-0.005068273999276448,-1.2437604756647644,-0.008684661095842677,-0.11872837847232609,4,19
opening_hour_sentiment,Time of day,H3,10,360,0.001049207088238117,0.22803749682673313,-0.013320787169687591,-1.8960228553626857,-0.014369994257925707,-0.11872837847232609,4,19
opening_hour_sentiment,Time of day,H3,20,360,0.00876073547610951,0.603342167324345,-0.014388196243485992,-2.012941124373105,-0.023148931719595502,-0.11872837847232609,4,19
midday_sentiment,Time of day,H3,1,360,6.64793201342051e-05,0.041060975803607486,-0.0001558018365524972,-0.0691194601526455,-0.0002222811566867023,0.05721602021247899,3,18
midday_sentiment,Time of day,H3,3,360,-0.0010574791746087583,-0.28176752634172575,0.0029319539410828433,0.8895762710398588,0.003989433115691602,0.05721602021247899,3,18
midday_sentiment,Time of day,H3,5,360,-0.0031878824486522165,-0.7610465767560849,0.004044915466602632,0.7776426021580405,0.0072327979152548485,0.05721602021247899,3,18
midday_sentiment,Time of day,H3,10,360,-0.010141562534828273,-2.0024000309608776,-0.0008867604224374101,-0.12288814818533471,0.009254802112390863,0.05721602021247899,3,18
midday_sentiment,Time of day,H3,20,360,-0.010596459467723971,-1.4900236273685776,0.00379785708645934,0.2680766966695192,0.014394316554183311,0.05721602021247899,3,18
closing_hour_sentiment,Time of day,H3,1,360,0.0001878823820889534,0.09189103982649131,0.0012059160552106752,0.6744968449718388,0.0010180336731217218,0.036787041677595944,4,4
closing_hour_sentiment,Time of day,H3,3,360,-0.0003749828101312667,-0.10664374330718482,0.0005126756701611848,0.1742077212276194,0.0008876584802924515,0.036787041677595944,4,4
closing_hour_sentiment,Time of day,H3,5,360,0.0026786094793478737,0.5620792896804385,-0.0016303797393458466,-0.3786098037344665,-0.00430898921869372,0.036787041677595944,4,4
closing_hour_sentiment,Time of day,H3,10,360,-0.009024553405855382,-1.4393038698365601,-0.006855326204904995,-1.3049273082535378,0.0021692272009503867,0.036787041677595944,4,4
closing_hour_sentiment,Time of day,H3,20,360,-0.010118557566666068,-1.5147734928760705,0.0028645758238129114,0.34835068389714846,0.01298313339047898,0.036787041677595944,4,4
sentiment_change_1d,Flow acceleration,H4,1,354,0.0016782677794846342,0.9142909183029434,-0.001972500725547908,-0.8957071668537397,-0.0036507685050325422,-0.008227334612380875,5,5
sentiment_change_1d,Flow acceleration,H4,3,354,-0.0012203595977359454,-0.30670340660203743,0.0013693753502634876,0.4040294384978252,0.002589734947999433,-0.008227334612380875,5,5
sentiment_change_1d,Flow acceleration,H4,5,354,9.558097375148696e-05,0.019728184244585407,0.0032831702504299825,0.6014770588075441,0.0031875892766784954,-0.008227334612380875,5,5
sentiment_change_1d,Flow acceleration,H4,10,354,-0.0038754773979151123,-0.4968572916243594,-0.004457186816390548,-0.7001003555685456,-0.0005817094184754359,-0.008227334612380875,5,5
sentiment_change_1d,Flow acceleration,H4,20,354,-0.00022902382398033946,-0.018342010705064533,-0.002368896593474891,-0.2647818641335886,-0.0021398727694945515,-0.008227334612380875,5,5
sentiment_change_3d,Flow acceleration,H4,1,342,0.0017091951112230355,0.8854223531655057,0.000570872139443625,0.27828786306913095,-0.0011383229717794106,0.028650598085906174,5,5
sentiment_change_3d,Flow acceleration,H4,3,342,0.0003225181251717541,0.08606836648418843,-0.0022417627528978994,-0.5312633241867086,-0.0025642808780696534,0.028650598085906174,5,5
sentiment_change_3d,Flow acceleration,H4,5,342,0.0007935380590995326,0.1719817167128691,-0.005023570356815196,-1.0033933654116687,-0.0058171084159147285,0.028650598085906174,5,5
sentiment_change_3d,Flow acceleration,H4,10,342,-0.00406662096062193,-0.5236346364348667,-0.0030222153462501635,-0.4226793936150497,0.0010444056143717666,0.028650598085906174,5,5
sentiment_change_3d,Flow acceleration,H4,20,342,0.005017108817378688,0.4178867343535806,0.0058426654740467215,0.5234876147729678,0.0008255566566680332,0.028650598085906174,5,5
delta_imbalance_change_1d,Flow acceleration,H4,1,354,0.001687613982958549,0.8413110930860482,-0.0032600634823636227,-1.3796461708503283,-0.004947677465322172,-0.025080173063869875,4,4
delta_imbalance_change_1d,Flow acceleration,H4,3,354,-0.001735950628161298,-0.370059994393479,-0.0004057524036082378,-0.09746132036547914,0.00133019822455306,-0.025080173063869875,4,4
delta_imbalance_change_1d,Flow acceleration,H4,5,354,-0.002936731839545507,-0.46927063303503863,0.001371025700684904,0.2626967363059233,0.004307757540230411,-0.025080173063869875,4,4
delta_imbalance_change_1d,Flow acceleration,H4,10,354,-0.0030077493904384594,-0.3753113275812228,-0.006320475325145584,-0.8787353502576052,-0.0033127259347071245,-0.025080173063869875,4,4
delta_imbalance_change_1d,Flow acceleration,H4,20,354,-0.005851953838028129,-0.40167927861314484,0.0007962395738842684,0.09015223079804381,0.006648193411912397,-0.025080173063869875,4,4
delta_imbalance_change_3d,Flow acceleration,H4,1,342,0.001371389747380419,0.6619206338434267,-0.0001011304383331717,-0.04763565020599693,-0.0014725201857135907,0.09588490767146915,5,5
delta_imbalance_change_3d,Flow acceleration,H4,3,342,-0.0011444498241884218,-0.30494650280567676,0.0005847328841902078,0.12725067149054736,0.0017291827083786297,0.09588490767146915,5,5
delta_imbalance_change_3d,Flow acceleration,H4,5,342,0.0007450133537672757,0.16809365707660232,-0.0003465337312591551,-0.06542401285038837,-0.0010915470850264308,0.09588490767146915,5,5
delta_imbalance_change_3d,Flow acceleration,H4,10,342,-0.0031592873011356587,-0.3443503160166758,-0.00021699500507604147,-0.028029142866658002,0.0029422922960596174,0.09588490767146915,5,5
delta_imbalance_change_3d,Flow acceleration,H4,20,342,0.0012324563385242608,0.0980823966274261,0.0055253405597584905,0.42892209873499676,0.00429288422123423,0.09588490767146915,5,5
gross_premium_pct_change_1d,Flow acceleration,H4,1,354,-0.002331812576990341,-1.2366417723887453,-0.0005791837719944554,-0.3725253675710677,0.0017526288049958855,0.028034062963278008,4,9
gross_premium_pct_change_1d,Flow acceleration,H4,3,354,-0.0015088886332464983,-0.5852145275677049,0.0009569892770829559,0.4206881464355428,0.002465877910329454,0.028034062963278008,4,9
gross_premium_pct_change_1d,Flow acceleration,H4,5,354,-0.00417217348086931,-0.9127309956732099,0.0019949094292453996,0.5348650383224832,0.00616708291011471,0.028034062963278008,4,9
gross_premium_pct_change_1d,Flow acceleration,H4,10,354,-0.007492214596665275,-1.4905640666071829,-0.006558317325428131,-0.9473388618536503,0.0009338972712371442,0.028034062963278008,4,9
gross_premium_pct_change_1d,Flow acceleration,H4,20,354,-0.009124052693004875,-0.8701940857472487,-0.0018575835745877091,-0.17665979874668708,0.007266469118417165,0.028034062963278008,4,9
zero_dte_share_change_1d,Flow acceleration,H4,1,354,0.001784303923054562,0.8989864347425464,0.000532140291560635,0.29338634478769776,-0.001252163631493927,0.018638936265638034,4,4
zero_dte_share_change_1d,Flow acceleration,H4,3,354,0.002312282015510414,0.9319424405669804,0.0025983245616346606,0.7167939618901283,0.00028604254612424676,0.018638936265638034,4,4
zero_dte_share_change_1d,Flow acceleration,H4,5,354,-0.0008554738293088465,-0.22685652393905859,0.0012600186669451498,0.30198582525940876,0.0021154924962539963,0.018638936265638034,4,4
zero_dte_share_change_1d,Flow acceleration,H4,10,354,1.5857453040354957e-05,0.00231419792175777,0.0011971229242350525,0.17918174948321833,0.0011812654711946975,0.018638936265638034,4,4
zero_dte_share_change_1d,Flow acceleration,H4,20,354,0.01412798880769927,1.0109347270822278,0.014011066491401191,1.1087713242197592,-0.00011692231629807821,0.018638936265638034,4,4
put_skew_change_1d,Flow acceleration,H4,1,335,0.0010066808759299863,0.4860407924080903,0.0024345692510487193,1.0943417383957879,0.001427888375118733,-0.0075799043194090775,4,9
put_skew_change_1d,Flow acceleration,H4,3,335,0.0030114959151132095,0.7577162236945315,0.000320324959258015,0.1326694522367414,-0.0026911709558551946,-0.0075799043194090775,4,9
put_skew_change_1d,Flow acceleration,H4,5,335,-0.0004945536451750102,-0.0832809595642567,-0.001876240797378108,-0.605741069613456,-0.0013816871522030977,-0.0075799043194090775,4,9
put_skew_change_1d,Flow acceleration,H4,10,335,0.0011490138241416594,0.13507863262066142,-0.0030223138020544827,-0.5898481121655252,-0.0041713276261961425,-0.0075799043194090775,4,9
put_skew_change_1d,Flow acceleration,H4,20,335,0.0023028748705141606,0.19972108997263313,-0.002816359416617364,-0.31925732228730425,-0.005119234287131525,-0.0075799043194090775,4,9
atm_iv_change_1d,Flow acceleration,H4,1,354,-0.0024771801089604126,-1.2533020816400153,0.002575103360367997,1.2504528079764219,0.00505228346932841,0.129805305160678,4,19
atm_iv_change_1d,Flow acceleration,H4,3,354,-0.0038089786987468488,-0.9605061975577253,0.008026528620501596,2.593640058287795,0.011835507319248446,0.129805305160678,4,19
atm_iv_change_1d,Flow acceleration,H4,5,354,-0.006623207173229754,-1.1267001819512474,0.00821792908294766,2.0015914953939826,0.014841136256177414,0.129805305160678,4,19
atm_iv_change_1d,Flow acceleration,H4,10,354,-0.008974018281489584,-1.118746088181878,0.005560462233158555,1.1702688157390146,0.014534480514648139,0.129805305160678,4,19
atm_iv_change_1d,Flow acceleration,H4,20,354,-0.004595777086952695,-0.399543038593364,0.011664832747067205,1.8297291192177443,0.0162606098340199,0.129805305160678,4,19
top10_concentration,Concentration,H5,1,360,0.0010124472027599766,0.9603940311323595,-0.0010243573861020952,-0.44551289458426807,-0.0020368045888620716,-0.17214951514859733,1,26
top10_concentration,Concentration,H5,3,360,0.00278323796621186,0.94580142566972,-0.0069698217679437895,-1.6916659215322734,-0.00975305973415565,-0.17214951514859733,1,26
top10_concentration,Concentration,H5,5,360,0.002431922009053672,0.5781192374140319,-0.01009249979582394,-1.969407902587599,-0.012524421804877612,-0.17214951514859733,1,26
top10_concentration,Concentration,H5,10,360,0.007325038231933799,1.5090639471791047,-0.010406752265423156,-1.1719682589218245,-0.017731790497356955,-0.17214951514859733,1,26
