feature,scope,ticker,horizon,q1_n,q1_mean,q1_hac_t,q5_n,q5_mean,q5_hac_t,q5_minus_q1_mean
net_trade_sentiment,pooled,ALL,1,72,-0.0017546462435206283,-0.9979472307512549,72,-0.0007976823887843336,-0.4009824485635929,0.0009569638547362947
net_trade_sentiment,pooled,ALL,3,71,-0.0012786543873772559,-0.30273442978823917,71,-0.002204063249557916,-0.5459407869703324,-0.0009254088621806602
net_trade_sentiment,pooled,ALL,5,67,-0.001014531555927257,-0.22026784098055083,69,-0.0011390571352447958,-0.15221811335351298,-0.00012452557931753871
net_trade_sentiment,pooled,ALL,10,57,-0.007577271072509625,-0.8878230471398735,64,-0.0036209053804412885,-0.3266820204622084,0.0039563656920683365
net_trade_sentiment,pooled,ALL,20,48,-0.010528728208667302,-0.9593125301624066,46,0.008774637269087716,0.5767743245908654,0.01930336547775502
net_trade_sentiment,per_etf,SPY,1,12,-0.00067600244963024,-0.37209599724437953,12,0.002467725513010157,1.376031212127717,0.003143727962640397
net_trade_sentiment,per_etf,SPY,3,11,-0.002162418316897351,-1.0972592787465743,12,0.006402973332464368,2.050890342829828,0.00856539164936172
net_trade_sentiment,per_etf,SPY,5,10,-0.005220420874830267,-3.240698237277227,11,0.003034366323689525,0.9563827829682032,0.008254787198519792
net_trade_sentiment,per_etf,SPY,10,10,0.0004536524739430892,0.13617542274993633,11,0.007174904300312484,1.4888206695918522,0.006721251826369395
net_trade_sentiment,per_etf,SPY,20,7,0.003999159213722879,0.857521298630936,10,0.003928628627526187,1.7628723989056523,-7.053058619669195e-05
net_trade_sentiment,per_etf,QQQ,1,12,-0.0026942231753487034,-1.0651457794983494,12,0.0036370740824615833,0.8125805667313994,0.006331297257810287
net_trade_sentiment,per_etf,QQQ,3,12,0.003133835922496377,0.8614993407759823,11,0.0022745620363832197,0.40792519224292256,-0.0008592738861131575
net_trade_sentiment,per_etf,QQQ,5,12,0.006519662070909611,0.7976815760681945,10,-0.0032672728279027896,-0.4524499820488482,-0.0097869348988124
net_trade_sentiment,per_etf,QQQ,10,9,-0.001570325008748023,-0.1766222400827114,10,0.005592536890114774,1.102123107529096,0.007162861898862797
net_trade_sentiment,per_etf,QQQ,20,4,0.006759943459050538,1.865238429284063,9,0.00357443930125149,0.41659674174941586,-0.003185504157799048
net_trade_sentiment,per_etf,IWM,1,12,-0.0013304810516720407,-0.545661301928144,12,-0.0023929828129022244,-1.1703224600743063,-0.0010625017612301837
net_trade_sentiment,per_etf,IWM,3,12,-0.007823448720452106,-2.650804830162974,11,-0.0029266162890429844,-2.272599397117072,0.004896832431409122
net_trade_sentiment,per_etf,IWM,5,12,-0.00766277268255323,-1.898405940623217,10,-0.0046549995365220646,-0.9425575035383098,0.0030077731460311655
net_trade_sentiment,per_etf,IWM,10,11,-0.013348877843319123,-3.5872816935277583,9,-0.010583413503959686,-1.8612681176468546,0.002765464339359437
net_trade_sentiment,per_etf,IWM,20,9,-0.015613435179980643,-2.490585651482152,6,-0.012480661707687302,-3.430861579516142,0.0031327734722933417
net_trade_sentiment,per_etf,SMH,1,12,-0.004858540691881565,-0.6798706039997905,12,-0.0014188441567620318,-0.15503100137369485,0.003439696535119533
net_trade_sentiment,per_etf,SMH,3,12,0.004476090900522071,0.2580946711505637,12,-0.014689477586338132,-1.2094527038401521,-0.019165568486860202
