section,ticker,outcome,n,q1_mean,q5_mean,q5_minus_q1_mean,spearman_rho,spearman_p
market_factor,SPY,ret_1d,242,-0.00046445022707983284,0.002994528370662046,0.0034589785977418787,0.1373779718734161,0.03266531248863593
market_factor,SPY,ret_3d,241,-6.203547072028584e-05,0.007876454968978923,0.007938490439699209,0.1891334816439325,0.003203290525881964
market_factor,SPY,ret_5d,239,4.6124400516406316e-05,0.010352100610616392,0.010305976210099986,0.22448147569101004,0.0004706265900375165
market_factor,SPY,ret_10d,234,0.004897239978431833,0.01851026208957908,0.013613022111147247,0.1846237072547214,0.004604497069156653
market_factor,SPY,ret_20d,224,0.014118593500157888,0.025036403731945364,0.010917810231787476,0.09831788793876316,0.14242750759101305
market_factor,SPY,fwd_vol_5d,241,0.005702470719200659,0.008632867963704494,0.0029303972445038342,0.3119807994718364,7.73396468165271e-07
market_factor,SPY,fwd_vol_10d,236,0.006802628725611776,0.008368505734531066,0.00156587700891929,0.2069013483184676,0.0013922233529394734
market_factor,SPY,fwd_vol_20d,227,0.006906106715913323,0.008399682353163327,0.001493575637250004,0.3008994535681087,3.9139111929003e-06
market_factor,SPY,fwd_max_drawdown_5d,231,-0.012045378129798355,-0.01385884607371715,-0.0018134679439187947,-0.04044285155596795,0.5408064583024969
market_factor,SPY,fwd_max_drawdown_10d,216,-0.020880454810486435,-0.019822548730596443,0.0010579060798899913,0.03893670449716968,0.5692572308646665
market_factor,SPY,fwd_max_drawdown_20d,192,-0.027393970307141677,-0.02764662250855913,-0.0002526522014174547,0.021481867938496452,0.7674195601207275
market_factor,SPY,vix_change_5d,241,0.5393877418673768,-1.7320831020673115,-2.2714708439346882,-0.3006530275707944,1.9986447435157003e-06
market_factor,SPY,vix_change_10d,236,0.257708211739858,-2.8636169230684323,-3.1213251348082904,-0.2673752713440728,3.15876492204007e-05
market_factor,SPY,vix_change_20d,227,-0.01978264684262483,-2.812825990759808,-2.793043343917183,-0.15702212054389703,0.017912554141615113
market_factor,QQQ,ret_1d,242,-0.001129884456304437,0.003935732556165752,0.0050656170124701895,0.12279055257196166,0.05645495488811275
market_factor,QQQ,ret_3d,241,-0.0009258121571875054,0.009527475394521909,0.010453287551709415,0.18069557332179895,0.004896516809618844
market_factor,QQQ,ret_5d,239,-0.0005005065928307845,0.014532076276201684,0.015032582869032468,0.20885967037846548,0.0011627738606276232
market_factor,QQQ,ret_10d,234,0.008191497723770466,0.02500905228123721,0.016817554557466745,0.17666121544063443,0.006743198461935264
market_factor,QQQ,ret_20d,224,0.026711314750521426,0.03054391496129841,0.0038326002107769847,0.048485235229314964,0.4702788276329715
market_factor,QQQ,fwd_vol_5d,241,0.00844031168870286,0.012746970266210238,0.004306658577507378,0.3045329355595638,1.4502668570371674e-06
market_factor,QQQ,fwd_vol_10d,236,0.010479444301056672,0.012691184796906662,0.0022117404958499898,0.19021075864209258,0.0033528693557320277
market_factor,QQQ,fwd_vol_20d,227,0.010598948660465955,0.01306439144502473,0.0024654427845587756,0.3353831112328347,2.2687713583702058e-07
market_factor,QQQ,fwd_max_drawdown_5d,231,-0.01849317228169779,-0.020849267138762253,-0.002356094857064464,-0.04590511500340384,0.48750750637046386
market_factor,QQQ,fwd_max_drawdown_10d,216,-0.03297830102198901,-0.030783489333525708,0.0021948116884633016,0.029946638722660856,0.661626774338448
market_factor,QQQ,fwd_max_drawdown_20d,192,-0.040451094989207736,-0.04288759715367679,-0.0024365021644690565,-0.03298953394671776,0.649645229912741
market_factor,QQQ,vix_change_5d,241,0.5393877418673768,-1.7320831020673115,-2.2714708439346882,-0.3006530275707944,1.9986447435157003e-06
market_factor,QQQ,vix_change_10d,236,0.257708211739858,-2.8636169230684323,-3.1213251348082904,-0.2673752713440728,3.15876492204007e-05
market_factor,QQQ,vix_change_20d,227,-0.01978264684262483,-2.812825990759808,-2.793043343917183,-0.15702212054389703,0.017912554141615113
market_factor,IWM,ret_1d,242,-0.0009895141918956714,0.0038897116799694593,0.0048792258718651305,0.12283981103761231,0.05635527655956153
market_factor,IWM,ret_3d,241,-0.0005476666793611999,0.010263738201955926,0.010811404881317125,0.17065119435317427,0.00793206119188111
market_factor,IWM,ret_5d,239,-5.4938552874310896e-05,0.014070895990182701,0.014125834543057013,0.16810239556932538,0.009221540597040893
market_factor,IWM,ret_10d,234,0.006310231098840105,0.02847017967063107,0.022159948571790964,0.1632674056808521,0.012386393374638354
market_factor,IWM,ret_20d,224,0.016086707980853435,0.034244599323106376,0.01815789134225294,0.03443242825495335,0.6082267730996629
market_factor,IWM,fwd_vol_5d,241,0.00900402772177419,0.01286247864382148,0.0038584509220472903,0.28701313068228057,5.951437530982313e-06
market_factor,IWM,fwd_vol_10d,236,0.010126861999222416,0.012305878331771042,0.0021790163325486264,0.23085799344753605,0.00034875208172024545
market_factor,IWM,fwd_vol_20d,227,0.010161692732194272,0.012048513341491781,0.0018868206092975091,0.22088869805192082,0.0008047934129235375
market_factor,IWM,fwd_max_drawdown_5d,231,-0.018249503775153695,-0.020477380667516122,-0.002227876892362427,-0.0650253130441927,0.32512550037486593
market_factor,IWM,fwd_max_drawdown_10d,216,-0.02779076113047099,-0.026113083857018438,0.0016776772734525512,0.048462721178178125,0.4786116952583095
market_factor,IWM,fwd_max_drawdown_20d,192,-0.03648483974724559,-0.03702264512003676,-0.0005378053727911683,-0.010929515120696849,0.880402205138555
market_factor,IWM,vix_change_5d,241,0.5393877418673768,-1.7320831020673115,-2.2714708439346882,-0.3006530275707944,1.9986447435157003e-06
market_factor,IWM,vix_change_10d,236,0.257708211739858,-2.8636169230684323,-3.1213251348082904,-0.2673752713440728,3.15876492204007e-05
market_factor,IWM,vix_change_20d,227,-0.01978264684262483,-2.812825990759808,-2.793043343917183,-0.15702212054389703,0.017912554141615113
residual,ALL,ret_5d,1434,,,0.002820069154139699,,0.9387755750120641
residual,ALL,ret_10d,1404,,,0.008241174156835177,,0.19124869003287187
residual,ALL,ret_20d,1344,,,0.013274111463546994,,0.15210558456804402
